Num cards,Num episodes (train),Model utility,Optimal policy utility,Random Policy Utility,Score,Normalized score

10,100000,18155116,19126306,6668590,11486526,0.9220410868252255
15,100000,28139851,30436701,9646500,18493351,0.889522472630255
20,100000,38893641,42817352,12697365,26196276,0.8697306542662187
40,100000,72492627,90613319,23555742,48936885,0.7297741312663295
50,100000,85962569,115220445,28729224,57233345,0.6617243269117452
60,100000,95068724,133181972,32273590,62795134,0.6222984925077879
70,100000,104060250,156423693,36593763,67466487,0.5630186632004208
80,100000,125712775,181850647,42304340,83408435,0.597711518084101
90,100000,127971727,200026261,44880659,83091068,0.5355683108567911
100,100000,139681259,229055370,49535565,90145694,0.5021490191569671
